,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
1,2,2004-01-01,Local,Venta,Girona,199,1945424,2004-04-19,Pedro
2,3,2004-01-01,Oficina,Alquiler,Girona,82,712416,2004-11-08,Joaquín
3,4,2004-01-02,Parking,Alquiler,Girona,285,1815450,2004-04-27,Jesús
5,6,2004-01-03,Industrial,Alquiler,Girona,131,953156,2004-09-05,Pedro
7,8,2004-01-03,Oficina,Venta,Girona,235,2158475,2004-10-31,Jesús
10,11,2004-01-04,Oficina,Alquiler,Girona,124,627068,2004-10-28,Pedro
11,12,2004-01-04,Industrial,Venta,Girona,187,999328,2004-04-05,Carmen
14,15,2004-01-04,Industrial,Alquiler,Girona,176,820336,2004-11-29,Pedro
15,16,2004-01-05,Casa,Alquiler,Girona,179,937960,2004-11-21,Carmen
18,19,2004-01-07,Piso,Alquiler,Girona,55,472615,2004-04-09,Luisa
22,23,2004-01-10,Casa,Alquiler,Girona,183,1438929,2004-04-21,Luisa
31,32,2004-01-13,Casa,Alquiler,Girona,92,627348,2004-04-12,María
36,37,2004-01-16,Local,Venta,Girona,229,1160572,2004-07-09,Pedro
39,40,2004-01-18,Oficina,Venta,Girona,182,1057784,2004-07-22,Jesús
42,43,2004-01-19,Oficina,Alquiler,Girona,74,579716,2004-09-22,María
43,44,2004-01-19,Casa,Venta,Girona,278,1537062,2004-12-16,María
48,49,2004-01-20,Local,Venta,Girona,40,321680,2005-01-11,Jesús
54,55,2004-01-22,Local,Venta,Girona,127,983234,2004-07-09,Carmen
57,58,2004-01-24,Local,Alquiler,Girona,274,2287626,2004-12-21,María
68,69,2004-01-27,Local,Venta,Girona,248,2212408,2004-10-09,María
70,71,2004-01-28,Casa,Venta,Girona,235,1939925,2004-11-01,Carmen
73,74,2004-01-29,Industrial,Venta,Girona,229,1098055,2004-10-22,Joaquín
81,82,2004-02-02,Parking,Venta,Girona,117,1069731,2004-09-14,Pedro
85,86,2004-02-03,Piso,Venta,Girona,275,2141700,2005-01-08,Jesús
89,90,2004-02-04,Suelo,Venta,Girona,292,2685816,2004-07-24,Pedro
98,99,2004-02-07,Industrial,Alquiler,Girona,251,2067236,2004-12-22,María
100,101,2004-02-08,Suelo,Alquiler,Girona,162,710694,2004-09-27,María
102,103,2004-02-08,Casa,Alquiler,Girona,258,1188090,2004-07-19,María
104,105,2004-02-10,Piso,Alquiler,Girona,238,1854496,2005-02-02,Luisa
106,107,2004-02-10,Suelo,Alquiler,Girona,222,1791318,2004-12-13,Jesús
113,114,2004-02-14,Suelo,Venta,Girona,103,806799,2005-01-11,Joaquín
115,116,2004-02-15,Parking,Venta,Girona,103,973659,2005-01-04,Jesús
116,117,2004-02-15,Oficina,Venta,Girona,274,1724008,2004-09-26,Joaquín
117,118,2004-02-15,Oficina,Venta,Girona,253,2047276,2004-09-10,Luisa
122,123,2004-02-17,Local,Alquiler,Girona,179,1461356,2004-07-30,Pedro
124,125,2004-02-19,Industrial,Venta,Girona,118,1067192,2004-08-25,Carmen
137,138,2004-02-24,Industrial,Venta,Girona,88,678480,2004-12-28,Luisa
144,145,2004-02-28,Piso,Venta,Girona,50,315550,2004-10-14,Pedro
145,146,2004-02-28,Parking,Venta,Girona,274,2028970,2004-08-20,Luisa
154,155,2004-03-03,Suelo,Alquiler,Girona,185,1403595,2004-10-02,Pedro
155,156,2004-03-03,Casa,Venta,Girona,284,1561432,2004-07-01,Pedro
163,164,2004-03-05,Oficina,Alquiler,Girona,287,1395681,2004-09-13,Carmen
166,167,2004-03-06,Parking,Venta,Girona,169,1370759,2005-01-14,Luisa
170,171,2004-03-08,Suelo,Venta,Girona,144,1358640,2004-11-13,Joaquín
172,173,2004-03-09,Oficina,Venta,Girona,268,2400476,2005-03-08,Joaquín
182,183,2004-03-14,Local,Alquiler,Girona,231,1446522,2004-09-02,Carmen
185,186,2004-03-16,Casa,Alquiler,Girona,87,779868,2004-10-23,Jesús
188,189,2004-03-17,Parking,Venta,Girona,160,1261600,2004-10-25,Jesús
191,192,2004-03-18,Local,Venta,Girona,56,553616,2005-03-09,Pedro
193,194,2004-03-19,Local,Alquiler,Girona,117,986895,2004-09-14,Pedro
194,195,2004-03-19,Piso,Venta,Girona,62,250852,2004-07-21,Carmen
197,198,2004-03-21,Oficina,Alquiler,Girona,174,720882,2004-08-14,Pedro
200,201,2004-03-22,Parking,Venta,Girona,247,1050985,2004-11-09,Pedro
201,202,2004-03-22,Piso,Alquiler,Girona,52,298272,2004-08-13,María
202,203,2004-03-22,Local,Alquiler,Girona,169,902798,2004-07-16,Luisa
204,205,2004-03-23,Local,Venta,Girona,274,2002392,2004-12-04,Luisa
213,214,2004-03-26,Industrial,Venta,Girona,163,1385011,2004-08-26,Carmen
214,215,2004-03-27,Parking,Alquiler,Girona,214,1219158,2004-07-13,Pedro
218,219,2004-03-29,Industrial,Alquiler,Girona,46,351256,2005-03-28,Luisa
221,222,2004-03-30,Local,Alquiler,Girona,82,420660,2004-10-02,María
