,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
4,5,2004-01-02,Suelo,Venta,Tarragona,152,1138024,2004-07-10,María
17,18,2004-01-06,Suelo,Venta,Barcelona,283,1679605,2004-06-06,Carmen
37,38,2004-01-17,Suelo,Alquiler,Tarragona,300,1492800,2004-12-08,Joaquín
52,53,2004-01-22,Suelo,Alquiler,Tarragona,158,1438748,2004-10-17,Carmen
65,66,2004-01-27,Suelo,Venta,Lleida,272,2119424,2004-12-24,Pedro
71,72,2004-01-28,Suelo,Venta,Tarragona,216,1478952,2004-10-15,Carmen
75,76,2004-01-29,Suelo,Alquiler,Tarragona,234,1757106,2004-12-28,Pedro
89,90,2004-02-04,Suelo,Venta,Girona,292,2685816,2004-07-24,Pedro
106,107,2004-02-10,Suelo,Alquiler,Girona,222,1791318,2004-12-13,Jesús
107,108,2004-02-12,Suelo,Alquiler,Tarragona,187,1782297,2004-12-20,Joaquín
108,109,2004-02-12,Suelo,Alquiler,Barcelona,300,1528200,2004-08-09,Pedro
154,155,2004-03-03,Suelo,Alquiler,Girona,185,1403595,2004-10-02,Pedro
160,161,2004-03-04,Suelo,Venta,Tarragona,165,1305480,2004-07-29,Jesús
167,168,2004-03-06,Suelo,Venta,Lleida,221,1842035,2004-10-15,Joaquín
170,171,2004-03-08,Suelo,Venta,Girona,144,1358640,2004-11-13,Joaquín
176,177,2004-03-11,Suelo,Venta,Tarragona,148,1431012,2004-09-01,Jesús
179,180,2004-03-12,Suelo,Alquiler,Tarragona,201,1874928,2004-06-21,Jesús
183,184,2004-03-14,Suelo,Venta,Tarragona,273,1447992,2004-10-24,Pedro
212,213,2004-03-26,Suelo,Alquiler,Lleida,223,1932518,2005-01-19,Pedro
233,234,2004-04-03,Suelo,Venta,Girona,230,1722700,2005-03-26,Carmen
250,251,2004-04-09,Suelo,Venta,Lleida,124,1130632,2005-01-22,Pedro
256,257,2004-04-11,Suelo,Alquiler,Lleida,261,1220697,2005-02-09,Carmen
257,258,2004-04-11,Suelo,Alquiler,Barcelona,242,1099648,2005-02-13,María
271,272,2004-04-15,Suelo,Venta,Lleida,270,2409210,2004-09-03,Carmen
278,279,2004-04-18,Suelo,Venta,Girona,244,1414956,2005-02-26,María
283,284,2004-04-19,Suelo,Alquiler,Girona,262,2404898,2004-10-20,Luisa
296,297,2004-04-23,Suelo,Alquiler,Girona,288,2699136,2004-07-28,Pedro
307,308,2004-04-28,Suelo,Alquiler,Barcelona,228,1521216,2005-03-16,Carmen
313,314,2004-04-30,Suelo,Alquiler,Tarragona,230,1386900,2005-03-21,Joaquín
326,327,2004-05-04,Suelo,Venta,Tarragona,180,1022040,2005-03-28,Jesús
327,328,2004-05-04,Suelo,Venta,Barcelona,273,1369368,2005-04-17,Jesús
356,357,2004-05-15,Suelo,Venta,Girona,196,1707944,2004-08-19,Pedro
369,370,2004-05-19,Suelo,Alquiler,Tarragona,285,1377975,2004-09-14,Jesús
377,378,2004-05-24,Suelo,Alquiler,Girona,280,1680000,2004-09-17,María
381,382,2004-05-26,Suelo,Alquiler,Lleida,264,2582184,2005-04-24,Luisa
390,391,2004-05-30,Suelo,Venta,Girona,300,1483500,2005-03-29,Carmen
416,417,2004-06-07,Suelo,Venta,Barcelona,254,1381506,2005-04-14,Luisa
420,421,2004-06-09,Suelo,Venta,Barcelona,135,1209735,2005-05-05,Pedro
430,431,2004-06-11,Suelo,Alquiler,Tarragona,153,1116441,2004-12-19,Jesús
451,452,2004-06-19,Suelo,Venta,Lleida,215,2097970,2004-11-13,Pedro
452,453,2004-06-19,Suelo,Venta,Girona,185,1616900,2005-04-08,Jesús
471,472,2004-06-25,Suelo,Venta,Tarragona,297,1820016,2005-01-08,María
473,474,2004-06-25,Suelo,Venta,Girona,199,1622646,2005-06-23,Jesús
497,498,2004-07-03,Suelo,Alquiler,Tarragona,110,1004740,2005-07-03,Luisa
522,523,2004-07-09,Suelo,Alquiler,Girona,270,1429380,2005-03-25,Carmen
592,593,2004-08-04,Suelo,Venta,Tarragona,213,1234974,2005-06-23,Carmen
607,608,2004-08-11,Suelo,Venta,Lleida,210,1117620,2005-05-12,Carmen
608,609,2004-08-11,Suelo,Venta,Lleida,287,1790880,2004-11-18,Pedro
665,666,2004-08-26,Suelo,Venta,Lleida,271,1457980,2005-05-09,Luisa
670,671,2004-08-28,Suelo,Alquiler,Barcelona,235,1277930,2005-04-07,Luisa
678,679,2004-08-30,Suelo,Venta,Tarragona,113,1074969,2005-04-16,Joaquín
